아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
모에로틀 취묵 외투,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotlQiApparel,Axolotl_InkGatheringRobe
모에로틀 치령관,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_ElegantHeadgear,Axolotl_Pheasant-PlumeCoronet
모에로틀 치염 영의,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotlQiApparel,Axolotl_FlameLotlQiGarment
모에로틀 탁지 연노,MoeLotl Race,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotiQiRangedWeapon,Axolotl_MoeLotlCrossBow_Intermediate
모에로틀 파진 연노,MoeLotl Race,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotiQiRangedWeapon,Axolotl_BattlebreakerCrossbow
모에로틀 판다 머리장식,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_PandaHeaddress
모에로틀 판다 잠옷,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_PandaPajamas
모에로틀 평민복,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_CasualWear
모에로틀 학자복,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_ScholarGarb
모에로틀 한해운경포,MoeLotl Race,제작 가능,조립 작업대,,,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_RangedWeapon,Axolotl_VastSeaCelestialWhaleCannon
모에로틀 행낭,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,"Axolotl_Apparel, Axolotl_CarryingEquipment",Axolotl_MoeLotlBackpack
모에로틀 형향 외투,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotlQiApparel,Axolotl_FragrantSleeves
모에로틀 호심경,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Armor,Axolotl_HeartwardMirrorplate
모에로틀 혼례복,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_ElegantApparel,Axolotl_AfterglowMarriageRobe
모에로틀 홍사 머리장식,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_RedSilkHairband
모에로틀 흑금총,MoeLotl Race,제작 가능,"전기 단조 작업대, 단조 작업대",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotiQiRangedWeapon,Axolotl_BlackGoldFirearm
무량보,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ligt,Axolotl_Book_BoundlessCloudTread
반암지서 (1권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Rock,Axolotl_BookRock_1Level
반암지서 (2권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Rock,Axolotl_BookRock_2Level
반암지서 (3권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Rock,Axolotl_BookRock_3Level
반암지서 (4권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Rock,Axolotl_BookRock_4Level
반암지서 (5권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Rock,Axolotl_BookRock_5Level
백화지서 (1권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Flower,Axolotl_BookFlower_1Level
백화지서 (2권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Flower,Axolotl_BookFlower_2Level
백화지서 (3권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Flower,Axolotl_BookFlower_3Level
백화지서 (4권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Flower,Axolotl_BookFlower_4Level
백화지서 (5권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Flower,Axolotl_BookFlower_5Level
벽영결,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Outg,Axolotl_Book_JadeShadowArt
본초강목,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_GrandHerbal
상군서,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_ScrollOfMercantileStratagems
석공책,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_StoneworkerStratagem
선천강기,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ment,Axolotl_Book_PrimalQiMethod
시부경,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_CanonOfPoeticHarmony
신행천리,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ligt,Axolotl_Book_Thousand-LeagueDivineStride
야주진전,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_AnnalsOfTheForge
양금원단,MoeLotl Race,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,Textiles,Axolotl_Silk
어검결,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Outg,Axolotl_Book_SwordParryArt
어구시,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_AnglerOde
연심법,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ment,Axolotl_Book_BlazingHeartSutra
엽양 고기,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",종족·동물 부산물: 엽양,,PlantFoodRaw,Axolotl_LeafSheep_LeafMeat
엽양 젤리,MoeLotl Race,,,,"궤도 상인 구매, 동물 도축, 동물 부산물, 상인 구매",종족·동물 부산물: 엽양,,AnimalProductRaw,Axolotl_LeafSheep_Gel
엽화떡,MoeLotl Race,제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매",,,FoodMeals,Axolotl_LeafFlowerJelly
오곡학,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_ClassicOfCereals
옥경분,MoeLotl Race,제작 가능,모에로틀 제약대,,궤도 상인 구매,,,Axolotl_Speical,Axolotl_JadeEssencePowder
운기단,MoeLotl Race,,,,,"설비 기능: 통천의, 설비 기능: 통천정",,Axolotl_Speical,Axolotl_LotlqiPellet
운기단 반죽,MoeLotl Race,제작 가능,모에로틀 제약대,,적 장비 노획,아이템 사용·개봉: 운기단,,Axolotl_Speical,Axolotl_ingredient
운래종,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ligt,Axolotl_Book_PhantomCloudTrace
원류지서 (1권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Water,Axolotl_BookWater_1Level
원류지서 (2권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Water,Axolotl_BookWater_2Level
원류지서 (3권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Water,Axolotl_BookWater_3Level
원류지서 (4권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Water,Axolotl_BookWater_4Level
원류지서 (5권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Water,Axolotl_BookWater_5Level
이물지,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_BestiaryOfCuriousCreatures
작염지서 (1권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Fire,Axolotl_BookFire_1Level
작염지서 (2권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Fire,Axolotl_BookFire_2Level
작염지서 (3권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Fire,Axolotl_BookFire_3Level
작염지서 (4권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Fire,Axolotl_BookFire_4Level
작염지서 (5권),MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Level_Fire,Axolotl_BookFire_5Level
조연제,MoeLotl Race,제작 가능,기계 작업대,,"궤도 상인 구매, 상인 구매","아이템 사용·개봉: 모에로틀 염황 어갑, 아이템 사용·개봉: 모에로틀 운경 어갑",,Axolotl_Speical,Axolotl_ArmorJumpFuel
지수법,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ment,Axolotl_Book_StillWaterSutra
축세결,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Outg,Axolotl_Book_PowerAccumulationArt
취기요결,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Ment,Axolotl_Book_BreathingMethod
취옥죽,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매, 설비 생산: 토양 수경재배 상자, 재배·채집","설비 기능: 토양 수경재배 상자, 식물: 취옥죽",,ResourcesRaw,Axolotl_Bamboo
태학경,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_ClassicOfErudition
통천정 핵,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Speical,Axolotl_CoreOfHeavenReachingCauldron
황제내경,MoeLotl Race,,,,"궤도 상인 구매, 상인 구매",,,Axolotl_Book_Auxi,Axolotl_Book_InnerCanon
회맥단,MoeLotl Race,,,,,"설비 기능: 통천의, 설비 기능: 통천정",,Axolotl_Speical,Axolotl_ReversalMeridianPill
회맥단 반죽,MoeLotl Race,제작 가능,모에로틀 제약대,,적 장비 노획,아이템 사용·개봉: 회맥단,,Axolotl_Speical,Axolotl_herbsIngredient
"""심연""",MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,,,,Axolotl_TaoistArtifact,RM_BlackWound
계혈 묵두,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,Axolotl_TaoistArtifact,RM_ChickenBloodInkFountain
금색 부적,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기",,,,,Axolotl_TaoistArtifact,RM_GoldIncantation
녹강시의 꼬리,MoeLotl: Rigor Mortis,,,,,,,AnimalProductRaw,AxoZombieTailC
닭 피,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매",,,Items,RM_ChickenBlood
도금 무장 도구,MoeLotl: Rigor Mortis,제작 가능,조립 작업대,,,,,ItemsMisc,RM_GoldPlatedArmsKit
모강시의 꼬리,MoeLotl: Rigor Mortis,,,,,,,AnimalProductRaw,AxoZombieTailD
모에로틀 도포,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매, 적 장비 노획",AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_LotlQiApparel,Axolotl_TaoistRobe
모에로틀 명혼사,MoeLotl: Rigor Mortis,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_GhostWeddingVeil
모에로틀 명혼포,MoeLotl: Rigor Mortis,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_GhostWeddingRobe
모에로틀 백무상 모자,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_WhiteImpermanenceHat
모에로틀 백무상 치마,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_WhiteImpermanenceSkirt
모에로틀 벼락 맞은 부도목검,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,,,,Axolotl_TaoistArtifact,RM_LigtningStruckWoodSword
모에로틀 부도목검,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,,,,Axolotl_TaoistArtifact,RM_PeachWoodSword
모에로틀 부적 쇠뇌,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,,,,Axolotl_TaoistArtifact,RM_IncantationCrossbow
모에로틀 붙임 부적,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_IncantationPatch
모에로틀 상모,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_FuneralHat
모에로틀 상복,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_FuneralAttire
모에로틀 선글라스,MoeLotl: Rigor Mortis,,,,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_Sunglasses
모에로틀 야막사,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_NightGauze
모에로틀 종사 도포,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,"궤도 상인 구매, 상인 구매","AlienRace.ThingDef_AlienRace: Axolotl, 능력·유전자: Hediff_ForceWearAfterDelay_YueJian",,Axolotl_LotlQiApparel,Axolotl_TaoistMasterRobe
모에로틀 찹쌀 주머니,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기",,,,,Axolotl_TaoistArtifact,RM_StickyRiceBag
모에로틀 흑무상 모자,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_BlackImpermanenceHat
모에로틀 흑무상 치마,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기, 모에로틀 기계 방직기",,적 장비 노획,AlienRace.ThingDef_AlienRace: Axolotl,,Axolotl_Apparel,Axolotl_BlackImpermanenceSkirt
묵두,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,Axolotl_TaoistArtifact,RM_InkFountain
백강시의 꼬리,MoeLotl: Rigor Mortis,,,,,,,AnimalProductRaw,AxoZombieTailB
벌레 피,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매",,,Items,RM_InsectBlood
벼락맞은 부도목,MoeLotl: Rigor Mortis,,,,재배·채집,식물: 벼락맞은 부도목,,ResourcesRaw,RM_LightningStruckWood
부도목,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매, 재배·채집","QuestEditor_Library.CustomMapDataDef: RM_Map_TaoistBase, 식물: 부도목",,ResourcesRaw,RM_AxoPeachWood
불화골,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매","QuestEditor_Library.CustomMapDataDef: RM_Map_TaoistBase, 아이템 사용·개봉: 야차진주",,Manufactured,RM_UnrottenBone
비강시의 꼬리,MoeLotl: Rigor Mortis,,,,,,,AnimalProductRaw,AxoZombieTailE
야차진주,MoeLotl: Rigor Mortis,,,,,설비 기능: 통천정,,Axolotl_Speical,Axolotl_YakshaPearl
연꽃등,MoeLotl: Rigor Mortis,,,,,,,Axolotl_TaoistArtifact,RM_LotusLantern
오행 나침반,MoeLotl: Rigor Mortis,,,,,설비 기능: 오행 나침반,,Axolotl_TaoistArtifact,RM_FiveElementCompass
원불어,MoeLotl: Rigor Mortis,,,,,,,ItemsMisc,RM_MoelotlNotSpeak
일식 연지,MoeLotl: Rigor Mortis,제작 가능,모에로틀 제약대,,,,,ItemsMisc,RM_SunBlockingRouge
자강시의 꼬리,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매",QuestEditor_Library.CustomMapDataDef: RM_Map_BigCave,,AnimalProductRaw,AxoZombieTailA
자괴목,MoeLotl: Rigor Mortis,,,,"궤도 상인 구매, 상인 구매, 재배·채집","QuestEditor_Library.CustomMapDataDef: RM_Map_TaoistBase, 식물: 거대 자괴목, 식물: 자괴목",,ResourcesRaw,RM_OvercastWood
자괴목 괴뢰,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,QuestEditor_Library.CustomMapDataDef: RM_Map_TaoistBase,,Axolotl_TaoistArtifact,RM_OvercastWoodGolem
자색 부적,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기",,,,,Axolotl_TaoistArtifact,RM_PurpleIncantation
초혼 방울,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,Axolotl_TaoistArtifact,RM_SoulChanterBell
팔괘경,MoeLotl: Rigor Mortis,제작 가능,"전기 단조 작업대, 단조 작업대",,궤도 상인 구매,,,Axolotl_TaoistArtifact,RM_BaguaMirror
풍우 영기,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기",,,,,Axolotl_TaoistArtifact,RM_FlagWindRain
피 묻은 책,MoeLotl: Rigor Mortis,,,,,,,ItemsMisc,RM_BloodPage
황색 부적,MoeLotl: Rigor Mortis,제작 가능,"전기 재봉 작업대, 재봉 작업대, 모에로틀 방직기",,"궤도 상인 구매, 상인 구매",,,Axolotl_TaoistArtifact,RM_YellowIncantation
공포파동 발생장치,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,Artifacts,MAG_PsychicSpookPulser
끓이지 않은 초월계 수프,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,,,,VCE_UncookedSoups,MAG_UncookedArchotechSoup
정신력 킬 스위치,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,DeathArtifact
정신력 포섭기,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,RecruitArtifact
정신안정 창,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,MentalResetArtifact
정신압박기,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,Artifacts,PsychicSpookPulser
정신영감 창,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,InspireArtifact
정신정지 창,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,StasisArtifact
정신충전 창,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,PsyrestoreArtifact
정신치료 창,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,HealAndStuffArtifact
정신파 동물 훈련기,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,ApparelUtility,TrainingArtifact
초능력 보호막 파동기,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,Artifacts,MAG_GuardianPulser
초월계 고기,More Archotech Garbage (Continued),제작 가능,"초월공학 작업대, 초월공학 스토브",,"궤도 상인 구매, 상인 구매, 설비 생산: 초월공학 조리기",설비 기능: 초월공학 조리기,,MeatRaw,SuperDuperArchoMeat
초월계 덩어리,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매, 설비 생산: 대형 초월공학 복제기, 설비 생산: 소형 초월공학 복제기, 설비 생산: 중형 초월공학 복제기, 설비 생산: 초월공학 복제기, 파괴 시 잔해","설비 기능: 대형 초월공학 복제기, 설비 기능: 소형 초월공학 복제기, 설비 기능: 중형 초월공학 복제기, 설비 기능: 초월공학 복제기, 설비 기능: 초월연결체 충전 기둥 I, 설비 기능: 초월연결체 충전 기둥 II, 설비 기능: 초월연결체 충전 기둥 III",,ResourcesRaw,archotechmatteraddingsomecraptoavoidproblems
초월계 빵,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,"궤도 상인 구매, 상인 구매",,,FoodMeals,MAG_ArchotechBake
초월계 수프,More Archotech Garbage (Continued),,,,"궤도 상인 구매, 상인 구매",PipeSystem.ProcessDef: MAG_ArchotechSoupRecipe,,FoodMeals,MAG_ArchotechSoup
초월계 식물성 물질,More Archotech Garbage (Continued),제작 가능,"초월공학 작업대, 초월공학 스토브",,"궤도 상인 구매, 상인 구매, 설비 생산: 초월공학 조리기",설비 기능: 초월공학 조리기,,PlantFoodRaw,SuperDuperArchoPlant
초월계 약품,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매",,,Medicine,ArchotechishMedicine
초월계 직화구이,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,"궤도 상인 구매, 상인 구매",,,FoodMeals,MAG_archotechgrill
초월계 축산물,More Archotech Garbage (Continued),제작 가능,"초월공학 작업대, 초월공학 스토브",,"궤도 상인 구매, 상인 구매, 설비 생산: 초월공학 조리기",설비 기능: 초월공학 조리기,,AnimalProductRaw,ArchotechMilkEggThing
초월계 치즈,More Archotech Garbage (Continued),,,,"궤도 상인 구매, 상인 구매",PipeSystem.ProcessDef: MAG_ArchotechCheeseRecipe,,AnimalProductRaw,MAG_ArchotechCheese
초월계 파편,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,"궤도 상인 구매, 상인 구매, 설비 생산: 대형 초월공학 복제기, 설비 생산: 소형 초월공학 복제기, 설비 생산: 중형 초월공학 복제기, 설비 생산: 초월공학 복제기, 파괴 시 잔해","설비 기능: 대형 초월공학 복제기, 설비 기능: 불안정한 발전기, 설비 기능: 소형 초월공학 복제기, 설비 기능: 정신 억제기, 설비 기능: 정신 파동 방출기, 설비 기능: 중형 초월공학 복제기, 설비 기능: 초월공학 복제기, 설비 기능: 초월연결체 충전 기둥 I, 설비 기능: 초월연결체 충전 기둥 II, 설비 기능: 초월연결체 충전 기둥 III",,ResourcesRaw,ArchotechScrap
초월계 향신료,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,"궤도 상인 구매, 상인 구매, 설비 생산: 초월공학 조리기",설비 기능: 초월공학 조리기,,VCE_Condiments,ArchoNutVial
초월계 후식,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,"궤도 상인 구매, 상인 구매",,,FoodMeals,MAG_ArchotechDessert
초월공학 부활기,More Archotech Garbage (Continued),제작 가능,초월공학 작업대,,,,,Items,MechSerumResurrectorButBetter
초월공학 사료,More Archotech Garbage (Continued),제작 가능,초월공학 스토브,,"궤도 상인 구매, 설비 생산: 초월공학 조리기",설비 기능: 초월공학 조리기,,Foods,MAG_Archotech_Kibble
초월공학 식사,More Archotech Garbage (Continued),제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매",,,FoodMeals,MealArchoAdvanced
초월공학 육식주의 식사,More Archotech Garbage (Continued),제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매",,,FoodMeals,MealArchoAdvanced_Carni
초월공학 채식주의 식사,More Archotech Garbage (Continued),제작 가능,"전기 스토브, 스토브, 태양 조리대",,"궤도 상인 구매, 상인 구매",,,FoodMeals,MealArchoAdvanced_Veg
초월연결체 열쇠 I,More Archotech Garbage (Continued),,,,파괴 시 잔해,설비 기능: 초월연결체 충전 기둥 I,,Items,MAG_ArchonexusCore_One
초월연결체 열쇠 II,More Archotech Garbage (Continued),,,,파괴 시 잔해,설비 기능: 초월연결체 충전 기둥 II,,Items,MAG_ArchonexusCore_Two
초월연결체 열쇠 III,More Archotech Garbage (Continued),,,,파괴 시 잔해,설비 기능: 초월연결체 충전 기둥 III,,Items,MAG_ArchonexusCore_Three
푸푸 깜짝 상자,Mya's fufu,,,,궤도 상인 구매,,,Items,MyaFufuBox
분쇄석,OP 편의 기능 모음 (OP Convenience),제작 가능,전기로,,궤도 상인 구매,,,Manufactured,OPC_CrushedStone
드래곤 비늘,Optimization: Leathers - C# Edition,,,,,,,ResourcesRaw,Leather_DragonScale
